stock_id,standard_code,short_code,kor_stock_name,kor_stock_abbr,eng_stock_name,listing_date,market_type,security_type,affiliated_dept,stock_type,listed_shares
72,KR7038070009,038070,서린바이오사이언스,서린바이오,"SeouLinBioscience CO., LTD.",2005/10/25,KOSDAQ,주권,우량기업부,보통주,8900676
73,KR7018680009,018680,서울제약,서울제약,"SEOUL PHARMA CO., LTD",2000/08/18,KOSDAQ,주권,벤처기업부,보통주,11659319
74,KR7011370004,011370,서한,서한,Seohan,1994/05/24,KOSDAQ,주권,우량기업부,보통주,100894865
75,KR7015750003,015750,성우하이텍,성우하이텍,"SUNGWOO HITECH CO., LTD",1995/11/04,KOSDAQ,주권,우량기업부,보통주,80000000
76,KR7000180000,000180,성창기업지주보통주,성창기업지주,SungchangEnterpriseHoldings,1976/06/02,KOSPI,주권,,보통주,69751600
77,KR7013000005,013000,세우글로벌보통주,세우글로벌,Sewooglobal,1989/09/05,KOSPI,주권,,보통주,28705031
78,KR7024830002,024830,세원물산,세원물산,SewonCorporation,1994/12/29,KOSDAQ,주권,우량기업부,보통주,8350000
79,KR7021820006,021820,세원정공보통주,세원정공,SewonPrecisionIndustry,1996/07/03,KOSPI,주권,,보통주,10000000
80,KR7039310008,039310,세중,세중,"SEJOONG CO., LTD.",2000/06/09,KOSDAQ,주권,중견기업부,보통주,18121667
81,KR7258790005,258790,소프트캠프,소프트캠프,"SOFTCAMP CO., LTD",2017/04/27,KOSDAQ,주권,벤처기업부,보통주,24991284
82,KR7035610005,035610,솔본,솔본,"SOLBORN, Inc.",1999/08/13,KOSDAQ,주권,우량기업부,보통주,27345997
83,KR7050960004,050960,수산아이앤티,수산아이앤티,"SOOSAN INT Co., LTD.",2016/10/11,KOSDAQ,주권,벤처기업부,보통주,6751000
84,KR7084180009,084180,수성웹툰,수성웹툰,Soosung Webtoon,2005/12/16,KOSDAQ,주권,중견기업부,보통주,17947011
85,KR7094840006,094840,슈프리마에이치큐,슈프리마에이치큐,Suprema HQ Inc.,2008/07/11,KOSDAQ,주권,벤처기업부,보통주,10471840
86,KR7013810007,013810,스페코,스페코,Speco,1997/11/03,KOSDAQ,주권,중견기업부,보통주,14655470
87,KR7020710000,020710,시공테크,시공테크,"SIGONG TECH Co.,Ltd.",1999/08/13,KOSDAQ,주권,우량기업부,보통주,20047970
88,KR7033170002,033170,시그네틱스,시그네틱스,Signetics Corp.,2010/11/26,KOSDAQ,주권,우량기업부,보통주,85728319
89,KR7006880009,006880,신송홀딩스보통주,신송홀딩스,SINGSONGHOLDINGS,2013/11/21,KOSPI,주권,,보통주,11828858
90,KR7002870004,002870,신풍보통주,신풍,SHINPOONG INC.,1976/06/30,KOSPI,주권,,보통주,34958700
91,KR7036710002,036710,심텍홀딩스,심텍홀딩스,"SIMMTECH HOLDINGS Co., Ltd.",2000/01/04,KOSDAQ,주권,중견기업부,보통주,48723279
92,KR7004770004,004770,써니전자보통주,써니전자,SunnyElectronics,1987/04/22,KOSPI,주권,,보통주,36702884
93,KR7208640003,208640,썸에이지,썸에이지,"Thumbage Co., Ltd.",2014/12/29,KOSDAQ,주권,중견기업부,보통주,139240254
94,KR7050890003,050890,쏠리드,쏠리드,"Solid, Inc.",2005/07/08,KOSDAQ,주권,우량기업부,보통주,61095231
95,KR7066790007,066790,씨씨에스충북방송,씨씨에스,"KOREA CABLE T.V CHUNG-BUK SYSTEM CO.,LTD.",2003/05/30,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,65152039
96,KR7340810001,340810,씨유박스,씨유박스,"CUBOX Co., Ltd",2023/05/19,KOSDAQ,주권,기술성장기업부,보통주,10597863
97,KR7260930003,260930,씨티케이,씨티케이,CTK,2017/12/07,KOSDAQ,주권,중견기업부,보통주,19341591
98,KR7052860004,052860,아이앤씨테크놀로지,아이앤씨,"I&C Technology Co., Ltd.",2009/10/06,KOSDAQ,주권,벤처기업부,보통주,17862854
99,KR7124500000,124500,아이티센,아이티센,"ITCEN CO., LTD.",2014/12/23,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,23204527
100,KR7032080004,032080,아즈텍더블유비이,아즈텍WB,"AZTECH WB CO., LTD",2000/10/26,KOSDAQ,주권,중견기업부,보통주,21491029
101,KR7013310008,013310,아진산업,아진산업,"A-JIN INDUSTRY CO.,LTD",2015/12/22,KOSDAQ,주권,우량기업부,보통주,38806582
102,KR7200350007,200350,아티스트스튜디오,아티스트스튜디오,Artist Studio,2021/12/30,KOSDAQ,주권,기술성장기업부,보통주,9996025
103,KR7321820003,321820,아티스트유나이티드,아티스트유나이티드,Artist United,2021/02/03,KOSDAQ,주권,기술성장기업부,보통주,15591376
104,KR7053800009,053800,안랩,안랩,"AHNLAB,INC.",2001/09/13,KOSDAQ,주권,우량기업부,보통주,11126506
105,KR7085810000,085810,알티캐스트,알티캐스트,Alticast Corporation,2013/12/06,KOSDAQ,주권,중견기업부,보통주,49056767
106,KR7043100007,043100,알파녹스,알파녹스,Alphanox,2000/08/08,KOSDAQ,주권,벤처기업부,보통주,16582967
107,KR7179530001,179530,애드바이오텍,애드바이오텍,"ADBIOTECH Co.,Ltd.",2022/01/24,KOSDAQ,주권,기술성장기업부,보통주,9140444
108,KR7270520000,270520,앱트뉴로사이언스,앱트뉴로사이언스,APT Neuroscience,2017/08/22,KOSDAQ,주권,벤처기업부,보통주,158790786
109,KR7011090008,011090,에넥스보통주,에넥스,Enex,1995/07/08,KOSPI,주권,,보통주,59991641
110,KR7038680005,038680,에스넷시스템,에스넷,S NET SYSTEMS.Inc,2000/04/27,KOSDAQ,주권,중견기업부,보통주,19549677
111,KR7045660008,045660,에이텍,에이텍,"ATEC CO.,Ltd",2001/05/24,KOSDAQ,주권,우량기업부,보통주,8260000
112,KR7224110007,224110,에이텍모빌리티,에이텍모빌리티,ATEC MOBILITY,2015/08/25,KOSDAQ,주권,중견기업부,보통주,5340000
113,KR7021080007,021080,에이티넘인베스트먼트,에이티넘인베스트,"Atinum Investment Co., Ltd",1991/07/12,KOSDAQ,주권,우량기업부,보통주,48000000
114,KR7038110003,038110,에코플라스틱,에코플라스틱,ECOPLASTIC CORPORATION,2000/03/23,KOSDAQ,주권,우량기업부,보통주,41169370
115,KR7317770006,317770,엑스페릭스,엑스페릭스,Xperix,2019/08/01,KOSDAQ,주권,벤처기업부,보통주,24152670
116,KR7067570002,067570,엔브이에이치코리아,엔브이에이치코리아,NVH KOREA INC.,2013/12/03,KOSDAQ,주권,우량기업부,보통주,42170000
117,KR7069410009,069410,엔텔스,엔텔스,"nTels Co., Ltd.",2007/06/20,KOSDAQ,주권,벤처기업부,보통주,10244824
118,KR7014440002,014440,영보화학보통주,영보화학,YoungboChemical,1997/08/27,KOSPI,주권,,보통주,20000000
119,KR7036560001,036560,영풍정밀,영풍정밀,YOUNG POONG PRECISION CORPORATION,1999/12/28,KOSDAQ,주권,우량기업부,보통주,15750000
120,KR7012280004,012280,영화금속보통주,영화금속,YeonghwaMetal,1990/01/25,KOSPI,주권,,보통주,51664505
121,KR7002630002,002630,오리엔트바이오보통주,오리엔트바이오,ORIENTBIO,1976/12/28,KOSPI,주권,,보통주,118583005
122,KR7065500001,065500,오리엔트정공,오리엔트정공,Orient Precision Industries Inc.,2002/09/19,KOSDAQ,주권,중견기업부,보통주,31742912
123,KR7010470003,010470,오리콤,오리콤,ORICOM Inc.,2000/10/24,KOSDAQ,주권,우량기업부,보통주,11975050
